,chembl_id,pref_name,canonical_smiles,max_phase_x,molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,max_phase_y,pass_ratio
0,CHEMBL269538,HARMINE,COc1ccc2c(c1)[nH]c1c(C)nccc12,1,322,212.25,3.03,2.0,1.0,37.91,1.0,N,0.0,13.54,6.15,1.85,1.82,NEUTRAL,212.25,3.0,16.0,0.67,212.095,C13H12N2O,3.0,1.0,0.0,0.29,1,0.7142857142857143
1,CHEMBL7075,SHETA-2,CC1(C)CC(C)(C)c2cc(NC(=S)Nc3ccc([N+](=O)[O-])cc3)ccc2S1,1,846,401.56,5.96,4.0,2.0,67.2,3.0,N,1.0,12.63,,6.03,6.03,NEUTRAL,401.56,2.0,27.0,0.38,401.1232,C20H23N3O2S2,5.0,2.0,1.0,-1.19,1,0.2857142857142857
2,CHEMBL269277,BETULINIC ACID,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1,1763,456.71,7.09,2.0,2.0,57.53,2.0,N,1.0,4.75,,6.64,4.04,ACID,456.71,0.0,33.0,0.44,456.3603,C30H48O3,3.0,2.0,1.0,3.07,1,0.2857142857142857
3,CHEMBL7983,PROPYL GALLATE,CCCOC(=O)c1cc(O)c(O)c(O)c1,1,3346,212.2,1.37,5.0,3.0,86.99,3.0,N,0.0,8.11,,1.95,1.87,NEUTRAL,212.2,1.0,15.0,0.52,212.0685,C10H12O5,5.0,3.0,0.0,0.46,1,0.7142857142857143
4,CHEMBL415247,JDTIC,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,1,8090,465.64,3.55,5.0,4.0,84.83,6.0,N,0.0,9.01,9.55,3.63,2.27,BASE,465.64,2.0,34.0,0.52,465.2991,C28H39N3O3,6.0,4.0,0.0,0.58,1,1.0
5,CHEMBL273124,PENCLOMEDINE,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,1,9189,325.41,4.23,3.0,0.0,31.35,2.0,N,0.0,,0.08,4.13,4.13,NEUTRAL,325.41,1.0,16.0,0.76,322.8841,C8H6Cl5NO2,3.0,0.0,0.0,-0.24,1,0.5714285714285714
6,CHEMBL12089,BERBERINE CHLORIDE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1,9459,336.37,3.1,4.0,0.0,40.8,2.0,N,0.0,,,-1.28,-1.28,NEUTRAL,371.82,3.0,25.0,0.67,336.123,C20H18ClNO4,5.0,0.0,0.0,1.3,1,0.8571428571428571
7,CHEMBL12420,"N,N-DIMETHYLTRYPTAMINE",CN(C)CCc1c[nH]c2ccccc12,1,9988,188.27,2.27,1.0,1.0,19.03,3.0,Y,0.0,,9.55,2.3,0.17,BASE,188.27,2.0,14.0,0.78,188.1313,C12H16N2,2.0,1.0,0.0,-0.34,1,0.7142857142857143
8,CHEMBL12543,METHYLPYRROLIDONE,CN1CCCC1=O,1,10276,99.13,0.24,1.0,0.0,20.31,0.0,Y,0.0,,,-0.36,-0.36,NEUTRAL,99.13,0.0,7.0,0.43,99.0684,C5H9NO,2.0,0.0,0.0,-0.7,1,0.7142857142857143
9,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,NCCCC(=O)O,1,10909,103.12,-0.19,2.0,2.0,63.32,3.0,N,0.0,4.53,10.22,-2.89,-2.89,ZWITTERION,103.12,0.0,7.0,0.52,103.0633,C4H9NO2,3.0,3.0,0.0,0.98,1,0.7142857142857143
